# time  amplitude  mean_radius
  0.0000000000000000E+00  1.9996822738341292E-02  1.0000000000065308E+00
  2.0646087939600000E-01  2.0013724056910494E-02  9.9999982319612746E-01
  4.1292175879200099E-01  2.0065158517877463E-02  9.9999928029614604E-01
  6.1938263818800077E-01  2.0151167788621631E-02  9.9999836580042201E-01
  8.2584351758399943E-01  2.0271855473799311E-02  9.9999707257645110E-01
  1.0323043969799990E+00  2.0427386327109741E-02  9.9999539132886184E-01
  1.2387652763760029E+00  2.0617986206601796E-02  9.9999331048357853E-01
  1.4452261557720067E+00  2.0843942243529607E-02  9.9999081604760709E-01
  1.6516870351680106E+00  2.1105603248310716E-02  9.9998789144261102E-01
  1.8581479145640145E+00  2.1403380173490291E-02  9.9998451741904282E-01
  2.0646087939600184E+00  2.1737746817775468E-02  9.9998067185926109E-01
  2.2710696733560223E+00  2.2110117547551177E-02  9.9998415060617685E-01
  2.4775305527520262E+00  2.2519366750286613E-02  9.9997951909110938E-01
  2.6839914321480300E+00  2.2967015018156373E-02  9.9997435316291150E-01
  2.8904523115440339E+00  2.3453796409078940E-02  9.9996861817218818E-01
  3.0969131909400378E+00  2.3981287597511232E-02  9.9995536708772803E-01
  3.3033740703360417E+00  2.4548816528267996E-02  9.9994833225774049E-01
  3.5098349497320456E+00  2.5158096779438536E-02  9.9994059831706372E-01
  3.7162958291280495E+00  2.5810143343420456E-02  9.9993211305349949E-01
  3.9227567085240533E+00  2.6506045492407274E-02  9.9992281948594786E-01
  4.1292175879200572E+00  2.7246969112249119E-02  9.9991265543137453E-01
  4.3356784673160611E+00  2.8034158475712233E-02  9.9990155343573506E-01
  4.5421393467120650E+00  2.8868938941059991E-02  9.9988943923013807E-01
  4.7486002261080689E+00  2.9752719001030856E-02  9.9987623188813068E-01
  4.9550611055040727E+00  3.0686993367304728E-02  9.9986184250374222E-01
  5.1615219849000766E+00  3.1673345353725665E-02  9.9984617467389492E-01
  5.3679828642960805E+00  3.2713450357398373E-02  9.9982912280458736E-01
  5.5744437436920844E+00  3.3809078611265357E-02  9.9981057265116458E-01
  5.7809046230880883E+00  3.4962104292479229E-02  9.9979026100660151E-01
