# time  amplitude  mean_radius
  0.0000000000000000E+00  1.9989588331740370E-02  1.0000000001899669E+00
  1.2299797070400000E-01  2.0006754538320581E-02  9.9999979798655125E-01
  2.4599594140799999E-01  2.0059469344454833E-02  9.9999917453769627E-01
  3.6899391211200072E-01  2.0147699101363593E-02  9.9999812854340453E-01
  4.9199188281600148E-01  2.0271476129486425E-02  9.9999665769186108E-01
  6.1498985352000080E-01  2.0430897447946132E-02  9.9999475836080798E-01
  7.3798782422400000E-01  2.0626124330333100E-02  9.9999242537780320E-01
  8.6098579492799920E-01  2.0857382144089165E-02  9.9998965183760491E-01
  9.8398376563199841E-01  2.1124960330517285E-02  9.9998642888883837E-01
  1.1069817363360004E+00  2.1429212584449058E-02  9.9998274553837618E-01
  1.2299797070400027E+00  2.1770557155789808E-02  9.9997858839492337E-01
  1.3529776777440050E+00  2.2149477283018252E-02  9.9997394144179053E-01
  1.4759756484480073E+00  2.2566521729285666E-02  9.9996878560443470E-01
  1.5989736191520096E+00  2.3022305522775125E-02  9.9996309877036837E-01
  1.7219715898560120E+00  2.3517510758218171E-02  9.9995685531779699E-01
  1.8449695605600143E+00  2.4052887429949817E-02  9.9995002623947171E-01
  1.9679675312640166E+00  2.4630856506704612E-02  9.9996093869482849E-01
  2.0909655019680189E+00  2.5249163561016599E-02  9.9995349825776048E-01
  2.2139634726720212E+00  2.5910314681625815E-02  9.9994536668550460E-01
  2.3369614433760235E+00  2.6615343662223775E-02  9.9993649283415620E-01
  2.4599594140800258E+00  2.7365358969443636E-02  9.9992681992021248E-01
  2.5829573847840281E+00  2.8161545584106454E-02  9.9991628517304421E-01
  2.7059553554880305E+00  2.9005166907622209E-02  9.9990481938495457E-01
  2.8289533261920328E+00  2.9897566856536058E-02  9.9989234643531233E-01
  2.9519512968960351E+00  3.0840172131338734E-02  9.9987878271113018E-01
  3.0749492676000374E+00  3.1834494624819784E-02  9.9986403634508980E-01
  3.1979472383040397E+00  3.2882134085242778E-02  9.9984800701436960E-01
  3.3209452090080420E+00  3.3984780940853117E-02  9.9983058534567115E-01
  3.4439431797120443E+00  3.5144219321467968E-02  9.9981165189030563E-01
  3.5669411504160466E+00  3.6363707586549589E-02  9.9977529639192197E-01
  3.6899391211200490E+00  3.7642560206803739E-02  9.9975202905449523E-01
  3.8129370918240513E+00  3.8984170626951350E-02  9.9972673339240614E-01
  3.9359350625280536E+00  4.0390733529842300E-02  9.9969924188649550E-01
  4.0589330332320559E+00  4.1864556045391459E-02  9.9966937353484753E-01
  4.1819310039360582E+00  4.3408062204331244E-02  9.9963693242264129E-01
  4.3049289746400605E+00  4.5023797722931386E-02  9.9960170568528162E-01
  4.4279269453440628E+00  4.6714435057292440E-02  9.9956346126281426E-01
  4.5509249160480651E+00  4.8482778921982141E-02  9.9952194568963471E-01
  4.6739228867520675E+00  5.0331772176203354E-02  9.9947688203122764E-01
  4.7969208574560698E+00  5.2264501930502721E-02  9.9942796782594734E-01
  4.9199188281600721E+00  5.4284206158162818E-02  9.9937487284374760E-01
  5.0429167988640744E+00  5.6394280745912559E-02  9.9931723652682924E-01
  5.1659147695680767E+00  5.8598284051686642E-02  9.9925466592863343E-01
  5.2889127402720790E+00  6.0899925554853095E-02  9.9918672927765229E-01
  5.4119107109760813E+00  6.3303298332189561E-02  9.9911295364914843E-01
  5.5349086816800837E+00  6.5813086700226037E-02  9.9903281493550700E-01
  5.6579066523840860E+00  6.8432988438501388E-02  9.9894578286505664E-01
  5.7809046230880883E+00  7.1166742366523941E-02  9.9885128946302215E-01
  5.9039025937920906E+00  7.4019067139975817E-02  9.9874868997382238E-01
  6.0269005644960929E+00  7.6994335175757295E-02  9.9863731385746801E-01
  6.1498985352000952E+00  8.0097504815723877E-02  9.9851641254319490E-01
  6.2728965059040975E+00  8.3333305608635652E-02  9.9838515240265657E-01
  6.3958944766080998E+00  8.6706950902168151E-02  9.9824271955382493E-01
  6.5188924473121022E+00  9.0223825006859049E-02  9.9808815388608230E-01
  6.6418904180161045E+00  9.3889594277393310E-02  9.9792043976782629E-01
  6.7648883887201068E+00  9.7709618474150814E-02  9.9773850945145603E-01
  6.8878863594241091E+00  1.0169047676265947E-01  9.9754119466179347E-01
  7.0108843301281114E+00  1.0583807530714170E-01  9.9732718867162540E-01
  7.1338823008321137E+00  1.1015990328586980E-01  9.9709513151944706E-01
  7.2568802715361160E+00  1.1466387126718477E-01  9.9684341378259822E-01
  7.3798782422401183E+00  1.1935647358276737E-01  9.9657055629970648E-01
  7.5028762129441207E+00  1.2423485477353334E-01  9.9628025696845512E-01
  7.6258741836481230E+00  1.2939025043484870E-01  9.9594618061960560E-01
  7.7488721543521253E+00  1.3467867536379927E-01  9.9559143963143526E-01
  7.8718701250561276E+00  1.4020332401556462E-01  9.9523315770981469E-01
  7.9948680957601299E+00  1.4597917333995214E-01  9.9482465933830377E-01
  8.1178660664641082E+00  1.5197706860373977E-01  9.9436397982725389E-01
  8.2408640371680857E+00  1.5824668190968652E-01  9.9387906379472168E-01
  8.3638620078720631E+00  1.6478835657013502E-01  9.9335134620963850E-01
  8.4868599785760406E+00  1.7160442384306129E-01  9.9277968135653916E-01
  8.6098579492800180E+00  1.7872232057684606E-01  9.9215455546609044E-01
  8.7328559199839955E+00  1.8613872175141202E-01  9.9147914895473432E-01
  8.8558538906879729E+00  1.9389093221369358E-01  9.9073665167386593E-01
  8.9788518613919504E+00  2.0197140289739496E-01  9.8993492095872759E-01
  9.1018498320959278E+00  2.1041233943546650E-01  9.8905552476210645E-01
  9.2248478027999052E+00  2.1922799404262161E-01  9.8809961083430109E-01
  9.3478457735038827E+00  2.2841295413453253E-01  9.8707005820000582E-01
  9.4708437442078601E+00  2.3800928138443808E-01  9.8594230921359527E-01
  9.5938417149118376E+00  2.4805835139596522E-01  9.8469158555661984E-01
  9.7168396856158150E+00  2.5848290357745657E-01  9.8337806864814015E-01
  9.8398376563197925E+00  2.6941901322515927E-01  9.8191749969498565E-01
  9.9628356270237699E+00  2.8083933234718705E-01  9.8031584968472452E-01
  1.0085833597727747E+01  2.9279088453622237E-01  9.7857340730194642E-01
  1.0208831568431725E+01  3.0529101610630649E-01  9.7666511184917448E-01
  1.0331829539135702E+01  3.1837259771206405E-01  9.7459270726544411E-01
  1.0454827509839680E+01  3.3210180681139045E-01  9.7229912652770245E-01
  1.0577825480543657E+01  3.4647389100289006E-01  9.6979519434367134E-01
