# time  amplitude  mean_radius
  0.0000000000000000E+00  3.9983343810854138E-02  1.0000000008042527E+00
  5.7106200683999998E-02  3.9990458145186175E-02  9.9999986526888918E-01
  1.1421240136800000E-01  4.0012971523723961E-02  9.9999943534407165E-01
  1.7131860205200000E-01  4.0050865416573815E-02  9.9999871021044562E-01
  2.2842480273599999E-01  4.0104128027579670E-02  9.9999768856142324E-01
  2.8553100342000021E-01  4.0172753963604008E-02  9.9999636866264252E-01
  3.4263720410400056E-01  4.0256744126294819E-02  9.9999474840187252E-01
  3.9974340478800091E-01  4.0356105595544145E-02  9.9999282520262689E-01
  4.5684960547200126E-01  4.0470851672681309E-02  9.9999059608974383E-01
  5.1395580615600145E-01  4.0601001723189860E-02  9.9998805762925380E-01
  5.7106200684000108E-01  4.0746581337681526E-02  9.9998520593808515E-01
  6.2816820752400071E-01  4.0907622076034759E-02  9.9998203671776131E-01
  6.8527440820800034E-01  4.1084161767649820E-02  9.9997854512712836E-01
  7.4238060889199997E-01  4.1276244118824329E-02  9.9997472599826209E-01
  7.9948680957599960E-01  4.1483919181422420E-02  9.9997057347411533E-01
  8.5659301025999923E-01  4.1707242789170762E-02  9.9996608151079891E-01
  9.1369921094399886E-01  4.1946277225925192E-02  9.9996124317026713E-01
  9.7080541162799849E-01  4.2201090458228174E-02  9.9995605152264488E-01
  1.0279116123119989E+00  4.2471757034583307E-02  9.9995049847710737E-01
  1.0850178129960000E+00  4.2758357082498512E-02  9.9994457620230703E-01
  1.1421240136800010E+00  4.3060977470463169E-02  9.9993827537592062E-01
  1.1992302143640021E+00  4.3379710537715915E-02  9.9993158724198805E-01
  1.2563364150480032E+00  4.3714655553679781E-02  9.9992450116096088E-01
  1.3134426157320043E+00  4.4065917144268739E-02  9.9991700742347556E-01
  1.3705488164160053E+00  4.4433607068878077E-02  9.9990909400320227E-01
  1.4276550171000064E+00  4.4817842335453217E-02  9.9990075021175706E-01
  1.4847612177840075E+00  4.5218747327192457E-02  9.9989196251489865E-01
  1.5418674184680086E+00  4.5636451563736198E-02  9.9988271911508420E-01
  1.5989736191520096E+00  4.6071092208200458E-02  9.9987300484765895E-01
  1.6560798198360107E+00  4.6522811427901871E-02  9.9986280686803020E-01
  1.7131860205200118E+00  4.6991759335977150E-02  9.9985210839054162E-01
  1.7702922212040129E+00  4.7478090935992770E-02  9.9984089533739018E-01
  1.8273984218880139E+00  4.7981969484855558E-02  9.9982914912317733E-01
  1.8845046225720150E+00  4.8503562840929819E-02  9.9981685453574498E-01
  1.9416108232560161E+00  4.9043047593383050E-02  9.9980399112670582E-01
  1.9987170239400172E+00  4.9600605043245927E-02  9.9979054219975672E-01
  2.0558232246240182E+00  5.0176425491492899E-02  9.9977648529030338E-01
  2.1129294253080193E+00  5.0770703759608286E-02  9.9976180235393897E-01
  2.1700356259920204E+00  5.1383644098761429E-02  9.9974646874502249E-01
  2.2271418266760215E+00  5.2015455154423747E-02  9.9973046480865646E-01
  2.2842480273600225E+00  5.2666355433485017E-02  9.9971376371803999E-01
  2.3413542280440236E+00  5.3336567721811015E-02  9.9969634404737306E-01
  2.3984604287280247E+00  5.4026325129924703E-02  9.9967817663064074E-01
  2.4555666294120257E+00  5.4735864904674685E-02  9.9965923818209090E-01
  2.5126728300960268E+00  5.5465435089701233E-02  9.9963949702526966E-01
  2.5697790307800279E+00  5.6215287661984234E-02  9.9961892785310547E-01
  2.6268852314640290E+00  5.6985685794363881E-02  9.9959749637515971E-01
  2.6839914321480300E+00  5.7776896183938012E-02  9.9957517505135285E-01
  2.7410976328320311E+00  5.8589196615940767E-02  9.9955192688259609E-01
  2.7982038335160322E+00  5.9422866352953178E-02  9.9952772196824669E-01
  2.8553100342000333E+00  6.0278190305122589E-02  9.9950252071975165E-01
  2.9124162348840343E+00  6.1155529133440516E-02  9.9947628832251389E-01
  2.9695224355680354E+00  6.2055279707047731E-02  9.9944897870395388E-01
  3.0266286362520365E+00  6.2977794263170059E-02  9.9942055469535518E-01
  3.0837348369360376E+00  6.3923414764297401E-02  9.9939096931331806E-01
  3.1408410376200386E+00  6.4892400363306540E-02  9.9936018605376675E-01
  3.1979472383040397E+00  6.5885044358941922E-02  9.9932815700151012E-01
  3.2550534389880408E+00  6.6901657489629410E-02  9.9929484085788722E-01
  3.3121596396720419E+00  6.7942598800543930E-02  9.9926018452704668E-01
  3.3692658403560429E+00  6.9008276173511907E-02  9.9922414111329871E-01
  3.4263720410400440E+00  7.0098963234969919E-02  9.9918665873249912E-01
  3.4834782417240451E+00  7.1214972453530589E-02  9.9914768719936986E-01
  3.5405844424080462E+00  7.2356751692319504E-02  9.9910715266520767E-01
  3.5976906473927799E+00  7.3524726464724244E-02  9.9906499316302011E-01
  3.5976906473927848E+00  7.3524726464724244E-02  9.9906499316302011E-01
