# time  amplitude  mean_radius
  0.0000000000000000E+00  4.9797990409255260E-03  1.0000000000105380E+00
  6.5891770020000004E-02  4.9809867095822156E-03  9.9999999539069728E-01
  1.3178354004000001E-01  4.9847167003506457E-03  9.9999998084547548E-01
  1.9767531006000000E-01  4.9909859600114053E-03  9.9999995626846550E-01
  2.6356708008000007E-01  4.9997927035299169E-03  9.9999992145361538E-01
  3.2945885010000048E-01  5.0111364896955248E-03  9.9999987625342279E-01
  3.9535062012000088E-01  5.0250182776166727E-03  9.9999982066817672E-01
  4.6124239014000129E-01  5.0414403509310432E-03  9.9999975471046831E-01
  5.2713416016000136E-01  5.0604063095516889E-03  9.9999967840198323E-01
  5.9302593018000094E-01  5.0819210745987019E-03  9.9999959176718511E-01
  6.5891770020000051E-01  5.1059908718467471E-03  9.9999949483459660E-01
  7.2480947022000008E-01  5.1326232441100432E-03  9.9999938763227803E-01
  7.9070124023999966E-01  5.1618270382901470E-03  9.9999927018800472E-01
  8.5659301025999923E-01  5.1936124159868485E-03  9.9999914252911937E-01
  9.2248478027999881E-01  5.2279908482755254E-03  9.9999900467617264E-01
  9.8837655029999838E-01  5.2649751212078353E-03  9.9999885665173849E-01
  1.0542683203199994E+00  5.3045793380629182E-03  9.9999869846577893E-01
  1.1201600903400006E+00  5.3468189198899079E-03  9.9999853013888496E-01
  1.1860518603600019E+00  5.3917106219611832E-03  9.9999835166110829E-01
  1.2519436303800031E+00  5.4462595107216223E-03  9.9998202230993494E-01
  1.3178354004000044E+00  5.4965712958616837E-03  9.9998168453208736E-01
  1.3837271704200056E+00  5.5495971090135298E-03  9.9998132857078659E-01
  1.4496189404400068E+00  5.6053590799097905E-03  9.9998095429911993E-01
  1.5155107104600081E+00  5.6638808556136681E-03  9.9998056193398055E-01
  1.5814024804800093E+00  5.7251874839932262E-03  9.9998015147082264E-01
  1.6472942505000105E+00  5.7893051247736955E-03  9.9997972257862833E-01
  1.7131860205200118E+00  5.8562614794680588E-03  9.9997927501552808E-01
  1.7790777905400130E+00  5.9260855897410670E-03  9.9997880844101339E-01
  1.8449695605600143E+00  5.9988079664085713E-03  9.9997832251401852E-01
  1.9108613305800155E+00  6.0823853544093795E-03  9.9999612413636030E-01
  1.9767531006000167E+00  6.1611063052255778E-03  9.9999584046510770E-01
  2.0426448706200180E+00  6.2428294568024553E-03  9.9999554497284804E-01
  2.1085366406400192E+00  6.3275911459508317E-03  9.9999523722767292E-01
  2.1744284106600205E+00  6.4154291820663085E-03  9.9999491694631948E-01
  2.2403201806800217E+00  6.5063829041330347E-03  9.9999458369657190E-01
  2.3062119507000229E+00  6.6004931366454682E-03  9.9999423714675828E-01
  2.3721037207200242E+00  6.6978022904015970E-03  9.9999387680129304E-01
  2.4379954907400254E+00  6.7983542945181134E-03  9.9999350222335381E-01
  2.5038872607600267E+00  6.9021946803589215E-03  9.9999311284422687E-01
  2.5697790307800279E+00  7.0093705128293588E-03  9.9999270833400411E-01
  2.6356708008000291E+00  7.1199305735262170E-03  9.9999228821887931E-01
  2.7015625708200304E+00  7.2339252849003754E-03  9.9999185193731832E-01
  2.7674543408400316E+00  7.3514066774149024E-03  9.9999139861360675E-01
  2.8333461108600329E+00  7.4724284379563887E-03  9.9999092748529861E-01
  2.8992378808800341E+00  7.5970460768143922E-03  9.9999043768483553E-01
  2.9651296509000353E+00  7.7253167500969666E-03  9.9998992856098412E-01
  3.0310214209200366E+00  7.8572994124872959E-03  9.9998939924719954E-01
  3.0969131909400378E+00  7.9930547763275833E-03  9.9998884907491492E-01
  3.1628049609600390E+00  8.1326454119702227E-03  9.9998827707416416E-01
  3.2286967309800403E+00  8.2761356954642561E-03  9.9998768243969494E-01
  3.2945885010000415E+00  8.4235919266091464E-03  9.9998706405747328E-01
  3.3604802710200428E+00  8.5750822609125064E-03  9.9998642096130042E-01
  3.4263720410400440E+00  8.7306768491847084E-03  9.9998575190243377E-01
  3.4922638110600452E+00  8.8904477543790533E-03  9.9998505575356711E-01
  3.5581555810800465E+00  9.0544690993971545E-03  9.9998433110953799E-01
  3.6240473511000477E+00  9.2270323546228099E-03  9.9996742907701253E-01
  3.6899391211200490E+00  9.3998659553817879E-03  9.9996633391711987E-01
  3.7558308911400502E+00  9.5771873037355723E-03  9.9996519721372634E-01
  3.8217226611600514E+00  9.7590792651667067E-03  9.9996401797833179E-01
  3.8876144311800527E+00  9.9503830902206453E-03  9.9998101513797066E-01
  3.9535062012000539E+00  1.0141759726096884E-02  9.9998007853581017E-01
  4.0193979712200552E+00  1.0337969792961163E-02  9.9997910092709530E-01
  4.0852897412400564E+00  1.0539104886834547E-02  9.9997808030710500E-01
  4.1511815112600576E+00  1.0745258860965237E-02  9.9997701490142965E-01
  4.2170732812800589E+00  1.0956528049041771E-02  9.9997590258658464E-01
  4.2829650513000601E+00  1.1173011131457654E-02  9.9997474133910813E-01
  4.3488568213200613E+00  1.1394809381107951E-02  9.9997352877978352E-01
  4.4147485913400626E+00  1.1622026485052516E-02  9.9997226265158234E-01
  4.4806403613600638E+00  1.1854768843873676E-02  9.9997094038171142E-01
  4.5465321313800651E+00  1.2093145350760053E-02  9.9996955950322963E-01
  4.6124239014000663E+00  1.2337267732147432E-02  9.9996811724659673E-01
  4.6783156714200675E+00  1.2587250293202873E-02  9.9996661092636152E-01
  4.7442074414400688E+00  1.2843210294314357E-02  9.9996503756059107E-01
  4.8100992114600700E+00  1.3105267671411422E-02  9.9996339419250468E-01
  4.8759909814800713E+00  1.3373545440052256E-02  9.9996167750192955E-01
  4.9418827515000725E+00  1.3648169388116312E-02  9.9995988418464021E-01
  5.0077745215200737E+00  1.3929268501780652E-02  9.9995801095546377E-01
  5.0736662915400750E+00  1.4216974677237617E-02  9.9995605458129466E-01
