# time  amplitude  mean_radius
  0.0000000000000000E+00  1.9997657089673358E-02  1.0000000000122533E+00
  7.4548027871999947E-02  2.0004063342465031E-02  9.9999992996826159E-01
  1.4909605574399984E-01  2.0023536920305857E-02  9.9999971661781140E-01
  2.2364408361599972E-01  2.0056058591621920E-02  9.9999935967785958E-01
  2.9819211148799962E-01  2.0101618491510861E-02  9.9999885872448369E-01
  3.7274013935999950E-01  2.0160215772647178E-02  9.9999821314043791E-01
  4.4728816723199938E-01  2.0231858459743273E-02  9.9999742208159625E-01
  5.2183619510399926E-01  2.0316563361640165E-02  9.9999648445567990E-01
  5.9638422297599913E-01  2.0414356012620663E-02  9.9999539890622202E-01
  6.7093225084799901E-01  2.0525270632462400E-02  9.9999416379844697E-01
  7.4548027871999889E-01  2.0649350100224326E-02  9.9999277720574753E-01
  8.2002830659199877E-01  2.0786645939020503E-02  9.9999123689635028E-01
  8.9457633446399865E-01  2.0937218310185871E-02  9.9998954031970144E-01
  9.6912436233599852E-01  2.1101136015843944E-02  9.9998768459251663E-01
  1.0436723902080016E+00  2.1278476504999741E-02  9.9998566648366982E-01
  1.1182204180800068E+00  2.1469325891391670E-02  9.9998348239932655E-01
  1.1927684459520120E+00  2.1673778990900450E-02  9.9998112836025621E-01
  1.2673164738240172E+00  2.1891939343314178E-02  9.9997860003060901E-01
  1.3418645016960224E+00  2.2123919250596744E-02  9.9997589264062625E-01
  1.4164125295680277E+00  2.2370032787289686E-02  9.9997742356235542E-01
  1.4909605574400329E+00  2.2630029878557837E-02  9.9997447130801631E-01
  1.5655085853120381E+00  2.2904236949049910E-02  9.9997132522572452E-01
  1.6400566131840433E+00  2.3192801856287089E-02  9.9996797828501416E-01
  1.7146046410560485E+00  2.3495881504271239E-02  9.9996442295378529E-01
  1.7891526689280537E+00  2.3813641922699899E-02  9.9996065118826882E-01
  1.8637006968000589E+00  2.4146258352331137E-02  9.9995665440828096E-01
  1.9382487246720641E+00  2.4493915335601756E-02  9.9995242347181190E-01
  2.0127967525440691E+00  2.4856806817708535E-02  9.9994794864750469E-01
  2.0873447804160743E+00  2.5235136250165244E-02  9.9994321958841881E-01
  2.1618928082880795E+00  2.5629116701947140E-02  9.9993822530188714E-01
  2.2364408361600847E+00  2.6038970977827598E-02  9.9993295412086369E-01
  2.3109888640320899E+00  2.6464931745842763E-02  9.9992739367408900E-01
  2.3855368919040951E+00  2.6907241673084253E-02  9.9992153084826740E-01
  2.4600849197761003E+00  2.7366153536485888E-02  9.9991535176678648E-01
  2.5346329476481055E+00  2.7841930381892539E-02  9.9990884172957750E-01
  2.6091809755201107E+00  2.8334845650756543E-02  9.9990198520378248E-01
  2.6837290033921160E+00  2.8845183289073335E-02  9.9989476580333048E-01
  2.7582770312641212E+00  2.9373237811697452E-02  9.9988716620557661E-01
  2.8328250591361264E+00  2.9919314173961615E-02  9.9987916809855526E-01
  2.9073730870081316E+00  3.0483726713713539E-02  9.9987075216819354E-01
  2.9819211148801368E+00  3.1066805263417485E-02  9.9986189798046277E-01
  3.0564691427521420E+00  3.1668942905963386E-02  9.9985258306116220E-01
  3.1310171706241472E+00  3.2290490443952831E-02  9.9984278466845977E-01
  3.2055651984961524E+00  3.2931779037001965E-02  9.9983247925951679E-01
  3.2801132263681576E+00  3.3593167135346207E-02  9.9982164190950606E-01
  3.3546612542401628E+00  3.4275038044449639E-02  9.9981024629960302E-01
  3.4292092821121680E+00  3.4977791040266097E-02  9.9979826133667793E-01
  3.5037573099841732E+00  3.5701843294614406E-02  9.9978567534640939E-01
  3.5783053378561784E+00  3.6447620359272931E-02  9.9977244754347738E-01
  3.6528533657281836E+00  3.7215559476471510E-02  9.9975852168555712E-01
  3.7274013936001889E+00  3.8006111815621198E-02  9.9974387436731427E-01
  3.8019494214721941E+00  3.8819748019918200E-02  9.9972846869449095E-01
  3.8764974493441993E+00  3.9656943753958826E-02  9.9971225604727421E-01
  3.9510454772162045E+00  4.0518370402577601E-02  9.9969121536915295E-01
  4.0255935050882021E+00  4.1404200101832031E-02  9.9967311277300874E-01
  4.1001415329601860E+00  4.2315120397076751E-02  9.9965408814029921E-01
  4.1746895608321699E+00  4.3251686702532224E-02  9.9963409545101967E-01
  4.2492375887041538E+00  4.4214428513956655E-02  9.9961308696765405E-01
  4.3237856165761377E+00  4.5203933290351335E-02  9.9959101118763727E-01
  4.3983336444481216E+00  4.6220752946055016E-02  9.9956781626745839E-01
  4.4728816723201055E+00  4.7265527085893960E-02  9.9954344581018695E-01
