# time  amplitude  mean_radius
  0.0000000000000000E+00  1.9977782413585259E-02  9.9997337393707164E-01
  4.0967063569999997E-02  1.9976146887538546E-02  9.9997338419343418E-01
  8.1934127140000007E-02  1.9970883918688061E-02  9.9997341714290089E-01
  1.2290119071000005E-01  1.9962004762524140E-02  9.9997347278262561E-01
  1.6386825427999996E-01  1.9949521184740315E-02  9.9997355211251726E-01
  2.0483531784999987E-01  1.9933445284428156E-02  9.9997365538448391E-01
  2.4580238141999977E-01  1.9913789677681593E-02  9.9997378332016773E-01
  2.8676944498999968E-01  1.9890567475663559E-02  9.9997393683480140E-01
  3.2773650855999958E-01  1.9863792231833554E-02  9.9997411652804624E-01
  3.6870357212999949E-01  1.9833478053890252E-02  9.9997432346978277E-01
  4.0967063569999940E-01  1.9803186683061320E-02  1.0000016768378210E+00
  4.5063769926999930E-01  1.9765849871948630E-02  1.0000020270488339E+00
  4.9160476283999921E-01  1.9725019490447776E-02  1.0000024094162565E+00
  5.3257182640999912E-01  1.9680711507700614E-02  1.0000028235816381E+00
  5.7353888997999902E-01  1.9632942429654993E-02  1.0000032691620742E+00
  6.1450595354999893E-01  1.9581729307338609E-02  1.0000037457518516E+00
  6.5547301711999884E-01  1.9527089745121438E-02  1.0000042529255437E+00
  6.9644008068999874E-01  1.9469041907633673E-02  1.0000047902368885E+00
  7.3740714425999865E-01  1.9407604527890501E-02  1.0000053572201746E+00
  7.7837420782999855E-01  1.9339691451136211E-02  1.0000296952888339E+00
  8.1934127139999846E-01  1.9271563983539658E-02  1.0000300937350741E+00
  8.6030833496999837E-01  1.9200107101331017E-02  1.0000305231383786E+00
  9.0127539853999827E-01  1.9125341678638622E-02  1.0000309843221125E+00
  9.4224246210999818E-01  1.9047289197650769E-02  1.0000314779874657E+00
  9.8320952567999809E-01  1.8965971738086208E-02  1.0000320048233733E+00
  1.0241765892499985E+00  1.8881412044737183E-02  1.0000325649789561E+00
  1.0651436528199996E+00  1.8793633457654543E-02  1.0000331586048945E+00
  1.1061107163900006E+00  1.8702659891748036E-02  1.0000337860021287E+00
  1.1470777799600016E+00  1.8608515899976408E-02  1.0000344471105549E+00
  1.1880448435300026E+00  1.8511226643569054E-02  1.0000351417319047E+00
  1.2290119071000036E+00  1.8410817884574920E-02  1.0000358695009790E+00
  1.2699789706700046E+00  1.8307315979462179E-02  1.0000366299020274E+00
  1.3109460342400057E+00  1.8200747853639485E-02  1.0000374224148871E+00
  1.3519130978100067E+00  1.8091141038739770E-02  1.0000382461565736E+00
  1.3928801613800077E+00  1.7974987576196495E-02  1.0000120671981045E+00
  1.4338472249500087E+00  1.7859413643356619E-02  1.0000131427727075E+00
  1.4748142885200097E+00  1.7740889371757423E-02  1.0000142629271209E+00
  1.5157813520900107E+00  1.7619444477807736E-02  1.0000154257036820E+00
  1.5567484156600118E+00  1.7495109073757276E-02  1.0000166291864501E+00
  1.5977154792300128E+00  1.7367913735321372E-02  1.0000178711218284E+00
  1.6386825428000138E+00  1.7237889631945526E-02  1.0000191486279661E+00
  1.6796496063700148E+00  1.7105068307505716E-02  1.0000204586554575E+00
  1.7206166699400158E+00  1.6969481742974545E-02  1.0000217982207387E+00
  1.7615837335100168E+00  1.6831162369078764E-02  1.0000231645218625E+00
  1.8025507970800179E+00  1.6690142994836541E-02  1.0000245546641335E+00
  1.8435178606500189E+00  1.6546456887443266E-02  1.0000259652453456E+00
