# time  amplitude  mean_radius
  0.0000000000000000E+00  9.9901115320953394E-03  9.9998209092214907E-01
  5.7106200683999998E-02  9.9918816168844456E-03  9.9998207635130043E-01
  1.1421240136800000E-01  9.9974833083351453E-03  9.9998203025018861E-01
  1.7131860205200000E-01  1.0006912220604614E-02  9.9998195271916557E-01
  2.2842480273599999E-01  1.0020165524010975E-02  9.9998184354284680E-01
  2.8553100342000021E-01  1.0037241987738520E-02  9.9998170276835985E-01
  3.4263720410400056E-01  1.0058141878108788E-02  9.9998153029233450E-01
  3.9974340478800091E-01  1.0082866986548584E-02  9.9998132610968027E-01
  4.5684960547200126E-01  1.0111420594079441E-02  9.9998109014139225E-01
  5.1395580615600145E-01  1.0148575550131411E-02  9.9999908711783547E-01
  5.7106200684000108E-01  1.0184823729170029E-02  9.9999887052391001E-01
  6.2816820752400071E-01  1.0224921485863393E-02  9.9999863048016202E-01
  6.8527440820800034E-01  1.0268878052959016E-02  9.9999836684101462E-01
  7.4238060889199997E-01  1.0316704132918504E-02  9.9999807945277452E-01
  7.9948680957599960E-01  1.0368411923160381E-02  9.9999776811621488E-01
  8.5659301025999923E-01  1.0424015090979743E-02  9.9999743263062968E-01
  9.1369921094399886E-01  1.0483528804365984E-02  9.9999707274931304E-01
  9.7080541162799849E-01  1.0546969700713909E-02  9.9999668822948407E-01
  1.0279116123119989E+00  1.0614355928981030E-02  9.9999627876889108E-01
  1.0850178129960000E+00  1.0685707108303071E-02  9.9999584408009012E-01
  1.1421240136800010E+00  1.0761044384116561E-02  9.9999538379802588E-01
  1.1992302143640021E+00  1.0840390374305084E-02  9.9999489758832305E-01
  1.2563364150480032E+00  1.0923769241367039E-02  9.9999438501770266E-01
  1.3134426157320043E+00  1.1011206624024808E-02  9.9999384569796612E-01
  1.3705488164160053E+00  1.1102729726749225E-02  9.9999327910417357E-01
  1.4276550171000064E+00  1.1198367235253408E-02  9.9999268477552561E-01
  1.4847612177840075E+00  1.1298149427950644E-02  9.9999206211226399E-01
  1.5418674184680086E+00  1.1402108074905874E-02  9.9999141063041463E-01
  1.5989736191520096E+00  1.1510276563994167E-02  9.9999072965502878E-01
  1.6560798198360107E+00  1.1622689776191514E-02  9.9999001862247461E-01
  1.7131860205200118E+00  1.1739384244131297E-02  9.9998927673947036E-01
  1.7702922212040129E+00  1.1860398010373453E-02  9.9998850334959044E-01
  1.8273984218880139E+00  1.1985770799261141E-02  9.9998769753203065E-01
  1.8845046225720150E+00  1.2115543855887310E-02  9.9998685855350677E-01
  1.9416108232560161E+00  1.2249760149472983E-02  9.9998598536828476E-01
  1.9987170239400172E+00  1.2388464180545206E-02  9.9998507715022023E-01
  2.0558232246240182E+00  1.2531702217658090E-02  9.9998413268027442E-01
  2.1129294253080193E+00  1.2679522082654767E-02  9.9998315096146984E-01
  2.1700356259920204E+00  1.2831973402011823E-02  9.9998213067530939E-01
  2.2271418266760215E+00  1.2989107370706403E-02  9.9998107079113274E-01
  2.2842480273600225E+00  1.3150977050837146E-02  9.9997996994066563E-01
  2.3413542280440236E+00  1.3317637107536681E-02  9.9997882708581620E-01
  2.3984604287280247E+00  1.3489144079696126E-02  9.9997764063449879E-01
  2.4555666294120257E+00  1.3665556127709066E-02  9.9997640937405130E-01
  2.5126728300960268E+00  1.3846933366442576E-02  9.9997513155547701E-01
  2.5697790307800279E+00  1.4033337547833646E-02  9.9997380583420126E-01
  2.6268852314640290E+00  1.4224832438745243E-02  9.9997243029376770E-01
  2.6839914321480300E+00  1.4421483467373803E-02  9.9997100344850109E-01
  2.7410976328320311E+00  1.4623358138491419E-02  9.9996952320218646E-01
  2.7982038335160322E+00  1.4830525644084448E-02  9.9996798792292019E-01
  2.8553100342000333E+00  1.5043057322488253E-02  9.9996639531767662E-01
  2.9124162348840343E+00  1.5261026224346858E-02  9.9996474357948117E-01
  2.9695224355680354E+00  1.5484507614654249E-02  9.9996303019403721E-01
  3.0266286362520365E+00  1.5713578507555850E-02  9.9996125317400997E-01
  3.0837348369360376E+00  1.5948318199774551E-02  9.9995940980293208E-01
  3.1408410376200386E+00  1.6188807766611121E-02  9.9995749791427913E-01
  3.1979472383040397E+00  1.6435130652661487E-02  9.9995551457237397E-01
  3.2550534389880408E+00  1.6687372118281894E-02  9.9995345739586883E-01
  3.3121596396720419E+00  1.6945619865034650E-02  9.9995132320293245E-01
  3.3692658403560429E+00  1.7209963446888257E-02  9.9994910937247383E-01
  3.4263720410400440E+00  1.7480494951651118E-02  9.9994681245767736E-01
  3.4834782417240451E+00  1.7757308368243557E-02  9.9994442957740282E-01
  3.5405844424080462E+00  1.8040500297902676E-02  9.9994195701294908E-01
  3.5976906473927799E+00  1.8330169297983492E-02  9.9993939159823753E-01
  3.5976906473927848E+00  1.8330169297983492E-02  9.9993939159823753E-01
