# time  amplitude  mean_radius
  0.0000000000000000E+00  4.9995832307205799E-03  1.0000000000000482E+00
  6.6440868103500167E-02  5.0008713773067696E-03  9.9999999627464342E-01
  1.3288173620699995E-01  5.0047539912818186E-03  9.9999998498919729E-01
  1.9932260431050119E-01  5.0112273892978206E-03  9.9999996613281994E-01
  2.6576347241400244E-01  5.0202893965199799E-03  9.9999993970167111E-01
  3.3220434051750369E-01  5.0319392736840425E-03  9.9999990568912822E-01
  3.9864520862100494E-01  5.0461776859661300E-03  9.9999986408177344E-01
  4.6508607672450619E-01  5.0630066849154023E-03  9.9999981485748757E-01
  5.3152694482800744E-01  5.0824296969622738E-03  9.9999975798465235E-01
  5.9796781293150869E-01  5.1044515153342200E-03  9.9999969342175121E-01
  6.6440868103500994E-01  5.1290782946576746E-03  9.9999962111664964E-01
  7.3084954913851119E-01  5.1563175477646337E-03  9.9999954100631738E-01
  7.9729041724201244E-01  5.1861781438965852E-03  9.9999945301629523E-01
  8.6373128534551369E-01  5.2186703082452443E-03  9.9999935705974807E-01
  9.3017215344901494E-01  5.2538056228972185E-03  9.9999925303786008E-01
  9.9661302155251619E-01  5.2915970278378495E-03  9.9999914083713071E-01
  1.0630538896560047E+00  5.3320588237185671E-03  9.9999902033231236E-01
  1.1294947577594925E+00  5.3752066753675739E-03  9.9999889138820108E-01
  1.1959356258629803E+00  5.4210576165694023E-03  9.9999875384676307E-01
  1.2623764939664681E+00  5.4696300544569733E-03  9.9999860753078507E-01
  1.3288173620699559E+00  5.5209437757348196E-03  9.9999845225166639E-01
  1.3952582301734437E+00  5.5750199536036609E-03  9.9999828781333178E-01
  1.4616990982769316E+00  5.6318811549860310E-03  9.9999811400425587E-01
  1.5281399663804194E+00  5.6916716562737434E-03  9.9999903400509504E-01
  1.5945808344839072E+00  5.7541777619309706E-03  9.9999885475934969E-01
  1.6610217025873950E+00  5.8195451025321501E-03  9.9999866588716868E-01
  1.7274625706908828E+00  5.8879172963220627E-03  9.9999740875945142E-01
  1.7939034387943706E+00  5.9590944390958090E-03  9.9999718884352029E-01
  1.8603443068978585E+00  6.0332219408544404E-03  9.9999695773169128E-01
  1.9267851750013463E+00  6.1103323974218823E-03  9.9999671502872145E-01
  1.9932260431048341E+00  6.1904598859689195E-03  9.9999646032353362E-01
  2.0596669112083221E+00  6.2736399778524641E-03  9.9999619318341415E-01
  2.1261077793118099E+00  6.3599097538000514E-03  9.9999591314912573E-01
  2.1925486474152978E+00  6.4493078204292875E-03  9.9999561973900575E-01
  2.2589895155187856E+00  6.5418743254613849E-03  9.9999531244065076E-01
  2.3254303836222734E+00  6.6376509754069567E-03  9.9999499071636089E-01
  2.3918712517257612E+00  6.7366810544512191E-03  9.9999465399569887E-01
  2.4583121198292490E+00  6.8390094412987736E-03  9.9999430168104908E-01
  2.5247529879327368E+00  6.9446826306289299E-03  9.9999393314014484E-01
  2.5911938560362247E+00  7.0537487525650384E-03  9.9999354770817106E-01
  2.6576347241397125E+00  7.1662575932801859E-03  9.9999314468170064E-01
  2.7240755922432003E+00  7.2822606183150411E-03  9.9999272332561084E-01
  2.7905164603466881E+00  7.4018109942693734E-03  9.9999228285992769E-01
  2.8569573284501759E+00  7.5249636120594716E-03  9.9999182246955320E-01
  2.9233981965536637E+00  7.6517751134515359E-03  9.9999134129624112E-01
  2.9898390646571515E+00  7.7823039135295298E-03  9.9999083844445480E-01
  3.0562799327606394E+00  7.9166102284234791E-03  9.9999031297022611E-01
  3.1227208008641272E+00  8.0547561029707549E-03  9.9998976388504857E-01
  3.1891616689676150E+00  8.1968054367630508E-03  9.9998919014923204E-01
  3.2556025370711028E+00  8.3428240137765688E-03  9.9998859067794876E-01
  3.3220434051745906E+00  8.4928795337628465E-03  9.9998796432978798E-01
  3.3884842732780784E+00  8.6470416395481343E-03  9.9998730991691565E-01
  3.4549251413815663E+00  8.8053819508989283E-03  9.9998662619138223E-01
  3.5213660094850541E+00  8.9679740974404048E-03  9.9998591185207686E-01
  3.5878068775885419E+00  9.1348937499198084E-03  9.9998516553455274E-01
  3.6542477456920297E+00  9.3062909401214356E-03  9.9998549038575613E-01
  3.7206886137955175E+00  9.4821020691132768E-03  9.9998469265929280E-01
  3.7871294818990053E+00  9.6624803331417097E-03  9.9998385871757300E-01
  3.8535703500024932E+00  9.8475099250599375E-03  9.9998298692547827E-01
  3.9200112181059810E+00  1.0037348009826242E-02  9.9998099481487757E-01
  3.9864520862094688E+00  1.0231943503081660E-02  9.9998001687471694E-01
  4.0528929543129566E+00  1.0431456515895349E-02  9.9997899493702391E-01
  4.1193338224164444E+00  1.0635980386523351E-02  9.9997792703819144E-01
  4.1857746905199322E+00  1.0845610844801174E-02  9.9997681112908365E-01
  4.2522155586234200E+00  1.1060446054068210E-02  9.9997564506617187E-01
  4.3186564267269079E+00  1.1280586657014433E-02  9.9997442660957681E-01
  4.3850972948303957E+00  1.1506135825160031E-02  9.9997315341746607E-01
  4.4515381629338835E+00  1.1737199305617736E-02  9.9997182304456578E-01
  4.5179790310373713E+00  1.1973885468681299E-02  9.9997043293377608E-01
  4.5844198991408591E+00  1.2216305359189012E-02  9.9996898041265325E-01
  4.6508607672443469E+00  1.2464572745883973E-02  9.9996746265277681E-01
  4.7173016353478348E+00  1.2718804181535464E-02  9.9996587671699899E-01
  4.7837425034513226E+00  1.2979119056482875E-02  9.9996421955743264E-01
  4.8501833715548104E+00  1.3245639652461141E-02  9.9996248799185317E-01
  4.9166242396582982E+00  1.3518491201931875E-02  9.9996067869654104E-01
  4.9830651077617860E+00  1.3797801945886182E-02  9.9995878819462825E-01
  5.0495059758652738E+00  1.4083703187592762E-02  9.9995681285765792E-01
  5.1159468439687616E+00  1.4376329345793575E-02  9.9995474889344871E-01
  5.1823877120722495E+00  1.4675818011455455E-02  9.9995259233952005E-01
  5.2488285801757373E+00  1.4982309941022268E-02  9.9995033905710129E-01
  5.3152694482792251E+00  1.5295948953278175E-02  9.9994798473760760E-01
  5.3817103163827129E+00  1.5616881138362114E-02  9.9994552488315647E-01
  5.4481511844862007E+00  1.5945262584256031E-02  9.9994295473414019E-01
  5.5145920525896885E+00  1.6281244547664615E-02  9.9994026933668168E-01
  5.5810329206931764E+00  1.6624985144645565E-02  9.9993746353162627E-01
  5.6474737887966642E+00  1.6976648337011617E-02  9.9993453191988180E-01
  5.7139146569001520E+00  1.7336401566648073E-02  9.9993146888030737E-01
  5.7803555250036398E+00  1.7704415662676748E-02  9.9992826883382946E-01
  5.8467963931071276E+00  1.8080865253730156E-02  9.9992492342724704E-01
  5.9132372612106154E+00  1.8465929126328270E-02  9.9992143062723648E-01
  5.9796781293141033E+00  1.8859790375845214E-02  9.9991779094201028E-01
  6.0461189974175911E+00  1.9262636033968945E-02  9.9991398588124980E-01
  6.1125598655210789E+00  1.9674657830254579E-02  9.9990999803046599E-01
  6.1790007336245667E+00  2.0096051916353344E-02  9.9990581925568256E-01
  6.2454416017280545E+00  2.0527018394080995E-02  9.9990144551479132E-01
  6.3118824698315423E+00  2.0967762066879021E-02  9.9989687261713145E-01
  6.3783233379350301E+00  2.1418494138551254E-02  9.9989209537613688E-01
  6.4447642060385180E+00  2.1879430257655860E-02  9.9988710661854130E-01
  6.5112050741420058E+00  2.2350812697340832E-02  9.9988084151540968E-01
  6.5776459422454936E+00  2.2832819416595752E-02  9.9987538459189806E-01
  6.6440868103489814E+00  2.3325702054086878E-02  9.9986968665196962E-01
  6.7105276784524692E+00  2.3829695380485193E-02  9.9986373702042763E-01
  6.7769685465559570E+00  2.4345040079990041E-02  9.9985752447131071E-01
  6.8434094146594449E+00  2.4871983368856151E-02  9.9985103722126545E-01
  6.9098502827629327E+00  2.5410778271059229E-02  9.9984426283936045E-01
  6.9762911508664205E+00  2.5961683747078211E-02  9.9983718842219993E-01
  7.0427320189699083E+00  2.6524964683020177E-02  9.9982980067104721E-01
  7.1091728870733961E+00  2.7100893010068294E-02  9.9982208521701799E-01
  7.1756137551768839E+00  2.7689745212660311E-02  9.9981402706102052E-01
  7.2420546232803718E+00  2.8291803350924398E-02  9.9980561054430361E-01
  7.3084954913838596E+00  2.8907358878684248E-02  9.9979682005970283E-01
  7.3749363594873474E+00  2.9536708437586972E-02  9.9978763927401915E-01
  7.4413772275908352E+00  3.0180153845279081E-02  9.9977805135092979E-01
  7.5078180956943230E+00  3.0844055104746779E-02  9.9976500703336435E-01
  7.5742589637978108E+00  3.1515569193773484E-02  9.9976041063144672E-01
  7.6406998319012986E+00  3.2194442649809231E-02  9.9974601160825016E-01
  7.7071407000047865E+00  3.2901064861210236E-02  9.9973486318890459E-01
  7.7735815681082743E+00  3.3619985054034726E-02  9.9972295923644572E-01
  7.8400224362117621E+00  3.4355889094493559E-02  9.9970989186599390E-01
  7.9064633043152499E+00  3.5106919290162152E-02  9.9969864599209302E-01
  7.9729041724187377E+00  3.5873923177613926E-02  9.9968393301379832E-01
  8.0393450405222264E+00  3.6659236626319709E-02  9.9967029996623380E-01
  8.1057859086257142E+00  3.7461763496899822E-02  9.9965540542108600E-01
  8.1722267767292021E+00  3.8282487984234399E-02  9.9963971247066352E-01
  8.2386676448326899E+00  3.9120650379931357E-02  9.9962264454796623E-01
  8.3051085129361777E+00  3.9979370600732027E-02  9.9960745981475663E-01
  8.3715493810396655E+00  4.0854690857111145E-02  9.9958981269250935E-01
  8.4379902491431533E+00  4.1749847607785183E-02  9.9957138967702486E-01
  8.5044311172466411E+00  4.2668378832733792E-02  9.9954993928376468E-01
  8.5708719853501290E+00  4.3604469331836947E-02  9.9952973729761729E-01
  8.6373128534536168E+00  4.4561651560544535E-02  9.9950864509321469E-01
  8.7037537215571046E+00  4.5538851744236726E-02  9.9948778002423666E-01
  8.7701945896605924E+00  4.6539294649056775E-02  9.9946501689901601E-01
  8.8366354577640802E+00  4.7560794143000434E-02  9.9944228755816233E-01
  8.9030763258675680E+00  4.8606924121718659E-02  9.9941730426134379E-01
  8.9695171939710558E+00  4.9675021769230575E-02  9.9939004054447267E-01
  9.0359580620745437E+00  5.0767690375761336E-02  9.9936214362781273E-01
  9.1023989301780315E+00  5.1882950619193492E-02  9.9933358156618768E-01
  9.1688397982815193E+00  5.3024914455906562E-02  9.9930453211965464E-01
  9.2352806663850071E+00  5.4190410960004223E-02  9.9927330676847093E-01
  9.3017215344884949E+00  5.5382628515084444E-02  9.9923884677041308E-01
  9.3681624025919827E+00  5.6601855047559622E-02  9.9920571470158692E-01
  9.4346032706954706E+00  5.7846796853778991E-02  9.9917043679886874E-01
  9.5010441387989584E+00  5.9120689708031762E-02  9.9913117330888623E-01
  9.5674850069024462E+00  6.0423235172259719E-02  9.9909443120807595E-01
  9.6339258750059340E+00  6.1754019926459937E-02  9.9905266286947991E-01
  9.7003667431094218E+00  6.3113595203764195E-02  9.9901075273801276E-01
  9.7668076112129096E+00  6.4504032476471518E-02  9.9896557971267574E-01
  9.8332484793163975E+00  6.5924365671646307E-02  9.9892055836432037E-01
  9.8996893474198853E+00  6.7378942673411699E-02  9.9887108806452696E-01
  9.9661302155233731E+00  6.8864102590620660E-02  9.9882025964078913E-01
  1.0032571083626861E+01  7.0383680552715419E-02  9.9876855948785148E-01
  1.0099011951730349E+01  7.1937866465173347E-02  9.9871266368327682E-01
  1.0165452819833837E+01  7.3519970243034416E-02  9.9865389174672403E-01
  1.0231893687937324E+01  7.5145104422330980E-02  9.9859457073082147E-01
  1.0298334556040812E+01  7.6802024981427394E-02  9.9853140220712944E-01
  1.0364775424144300E+01  7.8499625155335526E-02  9.9846533848578511E-01
  1.0431216292247788E+01  8.0229595013001614E-02  9.9839642746971258E-01
  1.0497657160351276E+01  8.2002017084623610E-02  9.9832474200554266E-01
  1.0564098028454763E+01  8.3813535331674099E-02  9.9824999620644972E-01
  1.0630538900549098E+01  8.5664755644603435E-02  9.9817101357675397E-01
  1.0630538900549100E+01  8.5664755644603435E-02  9.9817101357675397E-01
