# time  amplitude  mean_radius
  0.0000000000000000E+00  1.9999446832126646E-02  1.0000000000006954E+00
  7.5775535523000107E-02  2.0006153788366777E-02  9.9999992941541593E-01
  1.5155107104600030E-01  2.0026350536970213E-02  9.9999971651585939E-01
  2.2732660656900172E-01  2.0060015409452823E-02  9.9999936101197184E-01
  3.0310214209200315E-01  2.0107137867593980E-02  9.9999886281704975E-01
  3.7887767761500457E-01  2.0167718337433783E-02  9.9999821627722874E-01
  4.5465321313800600E-01  2.0241768190727469E-02  9.9999742407172088E-01
  5.3042874866100742E-01  2.0329302792520539E-02  9.9999648949866071E-01
  6.0620428418400885E-01  2.0430346410725223E-02  9.9999541224138655E-01
  6.8197981970701027E-01  2.0544935373583331E-02  9.9999419036360515E-01
  7.5775535523001170E-01  2.0673117080095629E-02  9.9999281767855919E-01
  8.3353089075301312E-01  2.0814944852738423E-02  9.9999129373307605E-01
  9.0930642627601455E-01  2.0970483869992299E-02  9.9998961818471144E-01
  9.8508196179901597E-01  2.1139808634881921E-02  9.9998778662898702E-01
  1.0608574973220051E+00  2.1323001953771712E-02  9.9998579135067844E-01
  1.1366330328449912E+00  2.1520182044399410E-02  9.9998474307326013E-01
  1.2124085683679773E+00  2.1731401553255050E-02  9.9998244107554968E-01
  1.2881841038909634E+00  2.1956797041378189E-02  9.9997995977334830E-01
  1.3639596394139495E+00  2.2196488718442531E-02  9.9997729316975836E-01
  1.4397351749369356E+00  2.2450607751869595E-02  9.9997443471485825E-01
  1.5155107104599217E+00  2.2719293840425106E-02  9.9997137864134977E-01
  1.5912862459829078E+00  2.3002697542996341E-02  9.9996811694310450E-01
  1.6670617815058939E+00  2.3300976621097237E-02  9.9996464264344276E-01
  1.7428373170288800E+00  2.3614300682259573E-02  9.9996094755495690E-01
  1.8186128525518661E+00  2.3942846615880819E-02  9.9995702158528232E-01
  1.8943883880748522E+00  2.4286804603066349E-02  9.9995285652416699E-01
  1.9701639235978383E+00  2.4646371434841916E-02  9.9994844106022185E-01
  2.0459394591208246E+00  2.5021757839268757E-02  9.9994376663213480E-01
  2.1217149946438107E+00  2.5413181614743395E-02  9.9993882073135310E-01
  2.1974905301667969E+00  2.5820873711508846E-02  9.9993359220497835E-01
  2.2732660656897830E+00  2.6245073838608954E-02  9.9992806885882202E-01
  2.3490416012127691E+00  2.6686033136403001E-02  9.9992223588002438E-01
  2.4248171367357552E+00  2.7144015629913424E-02  9.9991608120662989E-01
  2.5005926722587413E+00  2.7619292790584404E-02  9.9990958797603546E-01
  2.5763682077817274E+00  2.8112153730246559E-02  9.9990274114667266E-01
  2.6521437433047135E+00  2.8622891156384851E-02  9.9989552334036569E-01
  2.7279192788276996E+00  2.9151819407794117E-02  9.9988791499738661E-01
  2.8036948143506857E+00  2.9699254002605202E-02  9.9987989853699211E-01
  2.8794703498736718E+00  3.0265533207070667E-02  9.9987145113328069E-01
  2.9552458853966579E+00  3.0851810071946414E-02  9.9986213608134400E-01
  3.0310214209196440E+00  3.1457827107068168E-02  9.9985429129172010E-01
