# time  amplitude  mean_radius
  0.0000000000000000E+00  1.9989588331740370E-02  1.0000000001899669E+00
  1.2299797070400000E-01  2.0006754317317837E-02  9.9999979798317185E-01
  2.4599594140799999E-01  2.0059468227755506E-02  9.9999917454204257E-01
  3.6899391211200072E-01  2.0147696123625665E-02  9.9999812857474391E-01
  4.9199188281600148E-01  2.0271470040973068E-02  9.9999665777710023E-01
  6.1498985352000080E-01  2.0430886704062439E-02  9.9999475853482112E-01
  7.3798782422400000E-01  2.0626107076791873E-02  9.9999242568197388E-01
  8.6098579492799920E-01  2.0857356202767817E-02  9.9998965231966586E-01
  9.8398376563199841E-01  2.1124923174193636E-02  9.9998642960272199E-01
  1.1069817363360004E+00  2.1429161313030555E-02  9.9998274655029307E-01
  1.2299797070400027E+00  2.1770488471134532E-02  9.9997858977780085E-01
  1.3529776777440050E+00  2.2149387462724827E-02  9.9997394327716527E-01
  1.4759756484480073E+00  2.2566406598584273E-02  9.9996878798592115E-01
  1.5989736191520096E+00  2.3022160425421372E-02  9.9996310180249059E-01
  1.7219715898560120E+00  2.3517330536741085E-02  9.9995685911163479E-01
  1.8449695605600143E+00  2.4052666387531778E-02  9.9995003091917001E-01
  1.9679675312640166E+00  2.4630588424284696E-02  9.9996094501927835E-01
  2.0909655019680189E+00  2.5248841524012813E-02  9.9995350586682141E-01
  2.2139634726720212E+00  2.5909931181750511E-02  9.9994537578126164E-01
  2.3369614433760235E+00  2.6614890509413510E-02  9.9993650365206888E-01
  2.4599594140800258E+00  2.7364827265934991E-02  9.9992683272928273E-01
  2.5829573847840281E+00  2.8160925662153464E-02  9.9991630028903389E-01
  2.7059553554880305E+00  2.9004448283591326E-02  9.9990483717085765E-01
  2.8289533261920328E+00  2.9896738184169998E-02  9.9989236730195907E-01
  2.9519512968960351E+00  3.0839221152075887E-02  9.9987880712900024E-01
  3.0749492676000374E+00  3.1833408144423946E-02  9.9986406485163393E-01
  3.1979472383040397E+00  3.2880897909821245E-02  9.9984804022199247E-01
  3.3209452090080420E+00  3.3983379800510152E-02  9.9983062395436106E-01
  3.4439431797120443E+00  3.5142636810457373E-02  9.9981169666987979E-01
  3.5669411504160466E+00  3.6361925735829539E-02  9.9977535098159065E-01
  3.6899391211200490E+00  3.7640560091644591E-02  9.9975209246053920E-01
  3.8129370918240513E+00  3.8981932026509465E-02  9.9972680674712699E-01
  3.9359350625280536E+00  4.0388234841807057E-02  9.9969932636511538E-01
  4.0589330332320559E+00  4.1861774154481918E-02  9.9966947033328801E-01
