# time  amplitude  mean_radius
  0.0000000000000000E+00  1.9998292256559861E-02  9.9999525888707985E-01
  3.0031624020999970E-01  2.0015290804972139E-02  9.9999508042648688E-01
  6.0063248042000061E-01  2.0066780396629118E-02  9.9999453566400753E-01
  9.0094872063000409E-01  2.0152811616809603E-02  9.9999361849162960E-01
  1.2012649608400074E+00  2.0273497065460465E-02  9.9999232133333149E-01
  1.5015812010500109E+00  2.0429010539677984E-02  9.9999063456567916E-01
  1.8018974412600144E+00  2.0619586959613762E-02  9.9998854627799316E-01
  2.1022136814700176E+00  2.0845522576446687E-02  9.9998604213941655E-01
  2.4025299216800211E+00  2.1107809016089503E-02  9.9998827186990225E-01
  2.7028461618900246E+00  2.1405613479066398E-02  9.9998499745232705E-01
  3.0031624021000281E+00  2.1740040481637624E-02  9.9998126252939978E-01
  3.3034786423100315E+00  2.2111636953457282E-02  9.9997704184552505E-01
  3.6037948825200350E+00  2.2521014492891258E-02  9.9997230689949079E-01
  3.9041111227300385E+00  2.2968850439578643E-02  9.9996702580101171E-01
  4.2044273629400415E+00  2.3455889079038405E-02  9.9996116300982330E-01
  4.5047436031500450E+00  2.3982942972887882E-02  9.9995467912599656E-01
  4.8050598433600484E+00  2.4550894446451081E-02  9.9994753057501029E-01
  5.1053760835700519E+00  2.5160697192302815E-02  9.9993966934857070E-01
  5.4056923237800554E+00  2.5813378037681498E-02  9.9993104260998189E-01
  5.7060085639900588E+00  2.6510038864267223E-02  9.9992159249967461E-01
  6.0063248042000623E+00  2.7251858661248369E-02  9.9991125535164982E-01
  6.3066410444100658E+00  2.8040486593336012E-02  9.9990524984167573E-01
  6.6069572846200693E+00  2.8876501225876417E-02  9.9989317647754061E-01
  6.9072735248300727E+00  2.9761699091597912E-02  9.9988001623209655E-01
  7.2075897650400762E+00  3.0697592063724920E-02  9.9986566907605834E-01
  7.5079060052500797E+00  3.1685781849977522E-02  9.9985003688974916E-01
  7.8082222454600831E+00  3.2727963386354968E-02  9.9983301277648107E-01
  8.1085384856700635E+00  3.3825928244546895E-02  9.9981448034186760E-01
  8.4088547258800048E+00  3.4981568247343151E-02  9.9979431298760446E-01
  8.7091709660899461E+00  3.6196879313268600E-02  9.9977237281518372E-01
