# time  amplitude  mean_radius
  0.0000000000000000E+00  4.9797990409255260E-03  1.0000000000105380E+00
  5.7106200683999998E-02  4.9806813802146209E-03  9.9999999657905392E-01
  1.1421240136800000E-01  4.9834736509176570E-03  9.9999998569844606E-01
  1.7131860205200000E-01  4.9881736847284426E-03  9.9999996731533181E-01
  2.2842480273599999E-01  4.9947800593704338E-03  9.9999994130815439E-01
  2.8553100342000021E-01  5.0032920516074218E-03  9.9999990754305024E-01
  3.4263720410400056E-01  5.0137097533194076E-03  9.9999986596617729E-01
  3.9974340478800091E-01  5.0260340186569930E-03  9.9999981659364956E-01
  4.5684960547200126E-01  5.0402664496314240E-03  9.9999975943006403E-01
  5.1395580615600145E-01  5.0564093898315876E-03  9.9999969449043269E-01
  5.7106200684000108E-01  5.0744659281683341E-03  9.9999962179119528E-01
  6.2816820752400071E-01  5.0944398909292150E-03  9.9999954134954328E-01
  6.8527440820800034E-01  5.1163358458398631E-03  9.9999945318433192E-01
  7.4238060889199997E-01  5.1401590983968697E-03  9.9999935731423428E-01
  7.9948680957599960E-01  5.1659156935993161E-03  9.9999925375638732E-01
  8.5659301025999923E-01  5.1936124159868485E-03  9.9999914252911937E-01
  9.1369921094399886E-01  5.2232567899917629E-03  9.9999902364467452E-01
  9.7080541162799849E-01  5.2548570820903657E-03  9.9999889711904488E-01
  1.0279116123119989E+00  5.2884223006331799E-03  9.9999876295768297E-01
  1.0850178129960000E+00  5.3239621982707304E-03  9.9999862117610283E-01
  1.1421240136800010E+00  5.3614872747311066E-03  9.9999847177310686E-01
  1.1992302143640021E+00  5.4010087852289215E-03  9.9999831474864243E-01
  1.2563364150480032E+00  5.4495296106378665E-03  9.9998200036926987E-01
  1.3134426157320043E+00  5.4931329745129308E-03  9.9998170762493110E-01
  1.3705488164160053E+00  5.5387737846322345E-03  9.9998140121680357E-01
  1.4276550171000064E+00  5.5864663124812423E-03  9.9998108108901340E-01
  1.4847612177840075E+00  5.6362256813303670E-03  9.9998074727243824E-01
  1.5418674184680086E+00  5.6880678917843111E-03  9.9998039994006660E-01
  1.5989736191520096E+00  5.7420095493121550E-03  9.9998003891231280E-01
  1.6560798198360107E+00  5.7980680043318291E-03  9.9997966398832383E-01
  1.7131860205200118E+00  5.8562614794680588E-03  9.9997927501552808E-01
  1.7702922212040129E+00  5.9166089327572918E-03  9.9997887176174727E-01
  1.8273984218880139E+00  5.9791301710744524E-03  9.9997845400648033E-01
  1.8845046225720150E+00  6.0438457692322091E-03  9.9997802151838777E-01
  1.9416108232560161E+00  6.1187504419253245E-03  9.9999599319719934E-01
  1.9987170239400172E+00  6.1880120139275498E-03  9.9999574331467911E-01
  2.0558232246240182E+00  6.2595375243285015E-03  9.9999548440109132E-01
  2.1129294253080193E+00  6.3333508770101136E-03  9.9999521628275900E-01
  2.1700356259920204E+00  6.4094768269224662E-03  9.9999493868492850E-01
  2.2271418266760215E+00  6.4879409642813928E-03  9.9999465140998112E-01
  2.2842480273600225E+00  6.5687697524768043E-03  9.9999435416152693E-01
  2.3413542280440236E+00  6.6519905044469764E-03  9.9999404671302428E-01
  2.3984604287280247E+00  6.7376314362430113E-03  9.9999372870556458E-01
  2.4555666294120257E+00  6.8257216185112378E-03  9.9999339985583235E-01
  2.5126728300960268E+00  6.9162910296973754E-03  9.9999305979097441E-01
  2.5697790307800279E+00  7.0093705128293588E-03  9.9999270833400411E-01
  2.6268852314640290E+00  7.1049919031728149E-03  9.9999234515161817E-01
  2.6839914321480300E+00  7.2031879500184647E-03  9.9999196991248340E-01
  2.7410976328320311E+00  7.3039923256737766E-03  9.9999158202911176E-01
  2.7982038335160322E+00  7.4074395798876440E-03  9.9999118103623585E-01
  2.8553100342000333E+00  7.5135653246164412E-03  9.9999076630939421E-01
  2.9124162348840343E+00  7.6224061037152169E-03  9.9999033745251475E-01
  2.9695224355680354E+00  7.7339994536218494E-03  9.9998989388653015E-01
  3.0266286362520365E+00  7.8483838706366743E-03  9.9998943519899319E-01
  3.0837348369360376E+00  7.9655989162540474E-03  9.9998896080238808E-01
  3.1408410376200386E+00  8.0856851181793869E-03  9.9998847023379489E-01
  3.1979472383040397E+00  8.2086841049556977E-03  9.9998796280502289E-01
  3.2550534389880408E+00  8.3346384974674649E-03  9.9998743800177103E-01
  3.3121596396720419E+00  8.4635920442801254E-03  9.9998689502367588E-01
  3.3692658403560429E+00  8.5955895177170349E-03  9.9998633328090614E-01
  3.4263720410400440E+00  8.7306768491847084E-03  9.9998575190243377E-01
  3.4834782417240451E+00  8.8689010236857758E-03  9.9998515019060763E-01
  3.5405844424080462E+00  9.0103102154436444E-03  9.9998452719908437E-01
  3.5976906473927799E+00  9.1549536900181680E-03  9.9998388214268807E-01
  3.5976906473927848E+00  9.1549536900181680E-03  9.9998388214268807E-01
