# time  amplitude  mean_radius
  0.0000000000000000E+00  4.9971920929317180E-03  1.0000000000007234E+00
  6.5229524387999963E-02  4.9984137401201632E-03  9.9999999603967205E-01
  1.3045904877599987E-01  5.0021353321512054E-03  9.9999998386466382E-01
  1.9568857316399976E-01  5.0083535321085206E-03  9.9999996338982966E-01
  2.6091809755199968E-01  5.0170663970906752E-03  9.9999993461184422E-01
  3.2614762193999958E-01  5.0282733075915492E-03  9.9999989752980567E-01
  3.9137714632799947E-01  5.0419749431899110E-03  9.9999985214228637E-01
  4.5660667071599936E-01  5.0581732686247492E-03  9.9999979844596554E-01
  5.2183619510399926E-01  5.0768715246384943E-03  9.9999973643420048E-01
  5.8706571949199915E-01  5.0980742218386423E-03  9.9999966609587410E-01
  6.5229524387999904E-01  5.1217871364996606E-03  9.9999958741444772E-01
  7.1752476826799894E-01  5.1480173079954039E-03  9.9999950036705698E-01
  7.8275429265599883E-01  5.1767730374386962E-03  9.9999940492375172E-01
  8.4798381704399872E-01  5.2080638874540570E-03  9.9999930104668677E-01
  9.1321334143199862E-01  5.2419006827973133E-03  9.9999918868962945E-01
  9.7844286581999851E-01  5.2782955123313220E-03  9.9999906779733394E-01
  1.0436723902080016E+00  5.3172617312277166E-03  9.9999893829753839E-01
  1.1089019145960062E+00  5.3588139626899421E-03  9.9999880012490316E-01
  1.1741314389840107E+00  5.4029681052560306E-03  9.9999865320198422E-01
  1.2393609633720153E+00  5.4497413351274667E-03  9.9999849740672375E-01
  1.3045904877600198E+00  5.4991521130492334E-03  9.9999833260154936E-01
  1.3698200121480244E+00  5.5512201898067848E-03  9.9999815866040898E-01
  1.4350495365360290E+00  5.6059666120775054E-03  9.9999797546275659E-01
  1.5002790609240335E+00  5.6643204980567439E-03  9.9999361830197264E-01
  1.5655085853120381E+00  5.7245005915549964E-03  9.9999337671726907E-01
  1.6307381097000426E+00  5.7874305567507207E-03  9.9999312340544000E-01
  1.6959676340880472E+00  5.8541098964936577E-03  9.9999732758088178E-01
  1.7611971584760517E+00  5.9226321500844082E-03  9.9999710585857216E-01
