# time  amplitude  mean_radius
  0.0000000000000000E+00  1.9999446832126646E-02  1.0000000000006954E+00
  1.2629255920499982E-01  2.0018121002559938E-02  9.9999980330701577E-01
  2.5258511841000220E-01  2.0074227821036659E-02  9.9999921101388267E-01
  3.7887767761500457E-01  2.0167718337433783E-02  9.9999821627722874E-01
  5.0517023682000695E-01  2.0298624964834377E-02  9.9999681680741270E-01
  6.3146279602500932E-01  2.0467035469440512E-02  9.9999502106947724E-01
  7.5775535523001170E-01  2.0673117080095629E-02  9.9999281767855919E-01
  8.8404791443501407E-01  2.0917109315074338E-02  9.9999019366112918E-01
  1.0103404736400143E+00  2.1199327745904006E-02  9.9998713976190834E-01
  1.1366330328449912E+00  2.1520182044399410E-02  9.9998474307326013E-01
  1.2629255920499680E+00  2.1880082943857699E-02  9.9998080698654945E-01
  1.3892181512549449E+00  2.2279585160725826E-02  9.9997636179812455E-01
  1.5155107104599217E+00  2.2719293840425106E-02  9.9997137864134977E-01
  1.6418032696648985E+00  2.3199887333277359E-02  9.9996582507370468E-01
  1.7680958288698754E+00  2.3722115629097769E-02  9.9995966519119028E-01
  1.8943883880748522E+00  2.4286804603066349E-02  9.9995285652416699E-01
  2.0206809472798293E+00  2.4894858233293668E-02  9.9994535452352018E-01
  2.1469735064848061E+00  2.5547260100729323E-02  9.9993711026519838E-01
  2.2732660656897830E+00  2.6245073838608954E-02  9.9992806885882202E-01
  2.3995586248947598E+00  2.6989446503133466E-02  9.9991816981029935E-01
  2.5258511840997366E+00  2.7781611594461360E-02  9.9990734628368416E-01
  2.6521437433047135E+00  2.8622891156384851E-02  9.9989552334036569E-01
  2.7784363025096903E+00  2.9514698567551581E-02  9.9988261731363492E-01
  2.9047288617146672E+00  3.0462716911110639E-02  9.9986644660529678E-01
  3.0310214209196440E+00  3.1457827107068168E-02  9.9985429129172010E-01
  3.1573139801246208E+00  3.2509113321416955E-02  9.9983650902489785E-01
  3.2836065393295977E+00  3.3619294098766170E-02  9.9981789737276672E-01
  3.4098990985345745E+00  3.4785495858337762E-02  9.9979745293177524E-01
  3.5361916577395514E+00  3.6019259468162687E-02  9.9977683706620601E-01
  3.6624842169445282E+00  3.7310514748875354E-02  9.9975280937936717E-01
  3.7887767761495050E+00  3.8667674762041339E-02  9.9972633229709607E-01
  3.9150693353544819E+00  4.0093828124871417E-02  9.9969899710453702E-01
  4.0413618945594587E+00  4.1589317838829840E-02  9.9966829802203216E-01
  4.1676544537644356E+00  4.3158132280054502E-02  9.9963496878133740E-01
  4.2939470129694124E+00  4.4801428513889248E-02  9.9959766633384861E-01
  4.4202395721743892E+00  4.6519603303058439E-02  9.9955951853999692E-01
  4.5465321313793661E+00  4.8324540937803105E-02  9.9951590327206619E-01
  4.6728246905843429E+00  5.0207056510201034E-02  9.9946977030135031E-01
  4.7991172497893198E+00  5.2181328784187124E-02  9.9941906921379009E-01
  4.9254098089942966E+00  5.4245593311360328E-02  9.9936498441423482E-01
  5.0517023681992734E+00  5.6401246865565864E-02  9.9930569392987834E-01
  5.1779949274042503E+00  5.8656764483294516E-02  9.9923983514363179E-01
  5.3042874866092271E+00  6.1013549740381062E-02  9.9916920014245214E-01
  5.4305800458142039E+00  6.3477833830086081E-02  9.9909448899625353E-01
  5.5568726050191808E+00  6.6050993691311191E-02  9.9900791421773760E-01
  5.6831651642241576E+00  6.8738329056915404E-02  9.9891758237321504E-01
  5.8094577234291345E+00  7.1545080333459618E-02  9.9882096041095692E-01
  5.9357502826341113E+00  7.4476290340978010E-02  9.9871318566839762E-01
  6.0620428418390881E+00  7.7541329762063946E-02  9.9859628032809333E-01
  6.1883354010440650E+00  8.0738720456181107E-02  9.9847014656162669E-01
  6.3146279602490418E+00  8.4076201071087736E-02  9.9833261902730486E-01
  6.4409205194540187E+00  8.7561102287455755E-02  9.9818277088164920E-01
  6.5672130786589955E+00  9.1198456316036167E-02  9.9801998088687705E-01
  6.6935056378639723E+00  9.4995134181691129E-02  9.9784303574679056E-01
  6.8197981970689492E+00  9.8959949199446839E-02  9.9765111955881558E-01
  6.9460907562739260E+00  1.0309420653249385E-01  9.9744027115149669E-01
  7.0723833154789029E+00  1.0741277981821444E-01  9.9721391807348203E-01
  7.1986758746838797E+00  1.1192110772004704E-01  9.9696559382118444E-01
  7.3249684338888565E+00  1.1662572639580035E-01  9.9669577533144704E-01
  7.4512609930938334E+00  1.2153889100909383E-01  9.9640172558520868E-01
  7.5775535522988102E+00  1.2666450229620418E-01  9.9608285430141719E-01
  7.7038461115037871E+00  1.3201480944038688E-01  9.9573629579733314E-01
  7.8301386707087639E+00  1.3759964241585076E-01  9.9535741055098192E-01
  7.9564312299137407E+00  1.4343279402716408E-01  9.9494683785902716E-01
  8.0827237891187185E+00  1.4952389466655586E-01  9.9449850101377302E-01
  8.2090163483236953E+00  1.5588178820742821E-01  9.9401054884283768E-01
  8.3353089075286722E+00  1.6252369933915486E-01  9.9347837792000548E-01
  8.4616014667336490E+00  1.6946064225698829E-01  9.9289935768651438E-01
  8.5878940259386258E+00  1.7670450933892340E-01  9.9226721568711795E-01
  8.7141865851436027E+00  1.8427358800658056E-01  9.9158020713431050E-01
  8.8404791443485795E+00  1.9218352991707618E-01  9.9082838354404779E-01
  8.9667717035535563E+00  2.0044748756480371E-01  9.9000877358533024E-01
  9.0930642627585332E+00  2.0908907791080045E-01  9.8911526573821340E-01
  9.2193568219635100E+00  2.1812224257544313E-01  9.8813989138091740E-01
  9.3456493811684869E+00  2.2756881718501709E-01  9.8707415932184817E-01
  9.4719419403734637E+00  2.3744990695316048E-01  9.8590977753662201E-01
  9.5982344995784405E+00  2.4778971240385092E-01  9.8463737726012068E-01
  9.7245270587834174E+00  2.5861019519443507E-01  9.8324457408926003E-01
  9.8508196179883942E+00  2.6993575756551874E-01  9.8172104966219342E-01
  9.9771121771933711E+00  2.8180574346293352E-01  9.8005207466749367E-01
  1.0103404736398348E+01  2.9423868478636994E-01  9.7822325499650609E-01
  1.0229697295603325E+01  3.0727019838434183E-01  9.7621611967464239E-01
  1.0355989854808302E+01  3.2093762670734383E-01  9.7401375086493558E-01
  1.0482282414013278E+01  3.3527532307947905E-01  9.7159412933662048E-01
  1.0608574973218255E+01  3.5032442008086845E-01  9.6893292565882227E-01
  1.0734867532423232E+01  3.6612866100929264E-01  9.6600245114167960E-01
  1.0861160091628209E+01  3.8273477489276730E-01  9.6277181543481882E-01
  1.0987452650833186E+01  4.0018934626498087E-01  9.5920723518799966E-01
  1.1113745210038163E+01  4.1854790911219752E-01  9.5526698422469858E-01
  1.1240037769243139E+01  4.3786327903952371E-01  9.5090771842828226E-01
  1.1366330328448116E+01  4.5819260848183874E-01  9.4607588891150818E-01
  1.1492622887653093E+01  4.7959345933795144E-01  9.4071206784880823E-01
  1.1618915446858070E+01  5.0211881215468557E-01  9.3474923820290223E-01
  1.1745208006063047E+01  5.2581822787585497E-01  9.2810998774889109E-01
  1.1871500565268024E+01  5.5073008311879557E-01  9.2070030644618384E-01
  1.1997793124473001E+01  5.7686909713658929E-01  9.1242306690701014E-01
  1.2124085683677977E+01  6.0422089652586752E-01  9.0315612559914349E-01
  1.2250378242882954E+01  6.3270214721299345E-01  8.9276444941907707E-01
  1.2376670802087931E+01  6.6216133470215977E-01  8.8108359007270554E-01
  1.2502963361292908E+01  6.9230635874198121E-01  8.6791667854971477E-01
  1.2629255920497885E+01  7.2265424833508907E-01  8.5301710479124671E-01
  1.2755548479702862E+01  7.5242314963797563E-01  8.3605651956115834E-01
  1.2881841038907838E+01  7.8035998046630628E-01  8.1657957801518655E-01
  1.3008133598112815E+01  8.0441038126086228E-01  7.9386502351492760E-01
  1.3134426157317792E+01  8.2094709877134187E-01  7.6664326483754419E-01
  1.3260718716522769E+01  8.3296609226653995E-01  7.3726228210391975E-01
  1.3387011275727746E+01  1.0133230618789868E+00  8.3248098611222165E-01
  1.3513303834932723E+01  1.1411833467658243E+00  9.1378380070124676E-01
  1.3639596394137699E+01  1.2300649761964833E+00  9.8773955047237827E-01
  1.3765888953342676E+01  1.2781795001129002E+00  1.0762590792470270E+00
  1.3892181512547653E+01  1.2694262804038992E+00  1.1513365580946522E+00
  1.4018474071752630E+01  1.1887879222986506E+00  1.2625665933843604E+00
  1.4144766630957607E+01  1.0752919393070115E+00  1.4093882759052814E+00
  1.4271059190162584E+01  7.8381653441158539E-01  1.5745815552518003E+00
  1.4397351749367560E+01  8.7148769126462222E-01  1.5196107100527578E+00
  1.4523644308572537E+01  1.2162195632407344E+00  1.3563199545781754E+00
  1.4649936867777514E+01  1.3450313061772323E+00  1.2801410318347282E+00
