# time  amplitude  mean_radius
  0.0000000000000000E+00  1.9997657089673358E-02  1.0000000000122533E+00
  1.2579979703399988E-01  2.0016049064104497E-02  9.9999979869887889E-01
  2.5159959406799970E-01  2.0071615877100105E-02  9.9999918872541238E-01
  3.7739939110199949E-01  2.0164311120293186E-02  9.9999816797125773E-01
  5.0319918813599929E-01  2.0294161305838849E-02  9.9999673267228573E-01
  6.2899898516999908E-01  2.0461264211899949E-02  9.9999487705672385E-01
  7.5479878220399887E-01  2.0665788159042631E-02  9.9999259312261957E-01
  8.8059857923799867E-01  2.0907971642748033E-02  9.9998987046144394E-01
  1.0063983762719990E+00  2.1188123234231988E-02  9.9998669605187962E-01
  1.1321981733060078E+00  2.1506621622761814E-02  9.9998305409360710E-01
  1.2579979703400166E+00  2.1863915929895103E-02  9.9997892576172731E-01
  1.3837977673740254E+00  2.2260526089746199E-02  9.9997428910479635E-01
  1.5095975644080342E+00  2.2697243839119571E-02  9.9997370321816725E-01
  1.6353973614420430E+00  2.3174342982971798E-02  9.9996819350512722E-01
  1.7611971584760517E+00  2.3692750441342784E-02  9.9996209149595117E-01
  1.8869969555100605E+00  2.4253276542760563E-02  9.9995535785609446E-01
  2.0127967525440691E+00  2.4856806817708535E-02  9.9994794864750469E-01
  2.1385965495780779E+00  2.5504303274196068E-02  9.9993981522118247E-01
  2.2643963466120867E+00  2.6196805971670598E-02  9.9993090353938163E-01
  2.3901961436460955E+00  2.6935434594734090E-02  9.9992115409667592E-01
  2.5159959406801042E+00  2.7721390303431709E-02  9.9991050110185364E-01
  2.6417957377141130E+00  2.8555957469545225E-02  9.9989887239768116E-01
  2.7675955347481218E+00  2.9440505423132417E-02  9.9988618862210643E-01
  2.8933953317821306E+00  3.0376487989645810E-02  9.9987236293673254E-01
  3.0191951288161394E+00  3.1365468810720228E-02  9.9985729952520486E-01
  3.1449949258501482E+00  3.2409218109344086E-02  9.9984089179120494E-01
  3.2707947228841570E+00  3.3509381635455651E-02  9.9982302655289113E-01
  3.3965945199181657E+00  3.4667742231181367E-02  9.9980357984786417E-01
  3.5223943169521745E+00  3.5886233505609967E-02  9.9978243200231121E-01
  3.6481941139861833E+00  3.7166905175380335E-02  9.9975941310884464E-01
  3.7739939110201921E+00  3.8511900065966109E-02  9.9973433797475841E-01
  3.8997937080542009E+00  3.9923478896331195E-02  9.9970701981944032E-01
